Player,Predicted ,Actual,Accuracy(%)
Austin Ekeler,182.15,185.4,98.24703344
Jamaal Williams,200.66,60.8,30.30000997
Aaron Jones,186.5,134.9,72.33243968
Najee Harris,181.665,195.5,92.92327366
Rhamondre Stevenson,183.38,145.7,79.452503
Joe Mixon,174.595,267,65.39138577
Ezekiel Elliott,159.25,174.5,91.26074499
Alvin Kamara,160.98,233,69.09012876
James Conner,153.28,201.5,76.06947891
David Montgomery,143.365,207.2,69.19160232
D'Andre Swift,148.365,199.3,74.44305068
Jerick McKinnon,139.575,84.36,60.44062332
AJ Dillon,139.825,117.6,84.10513141
Devin Singletary,142.005,167.34,84.86016493
Raheem Mostert,137.06,267.7,51.19910347
Dameon Pierce,129.585,76.7,59.18894934
D'Onta Foreman,123.805,91.2,73.66423004
Isiah Pacheco,123.755,213.9,57.85647499
Antonio Gibson,121.75,127.4,95.56514914
Jonathan Taylor,119.39,156.4,76.33631714
Khalil Herbert,109.36,112.5,97.20888889
Samaje Perine,104.68,121.3,86.29843364
Kareem Hunt,101.485,118.5,85.64135021
Rachaad White,97.075,267.9,36.23553565
Michael Carter,102.77,58.8,57.21514061
James Cook,90.88,232.7,39.05457671
Clyde Edwards-Helaire,71.57,70.1,97.94606679
Alexander Mattison,70.8,133.2,53.15315315
Kenneth Gainwell,65.89,97.38,67.66276443
Joshua Kelley,49.955,61.7,80.9643436
Elijah Mitchell,30.465,47.5,64.13684211
Raheem Blackshear,28.185,17.1,60.67056945
Ameer Abdullah,31.32,41,76.3902439
DeeJay Dallas,29.455,10.2,34.62909523
Dare Ogunbowale,30.635,10.3,33.62167456
Gary Brightwell,22.57,11.6,51.39565795
Alec Ingold,24.44,24.9,98.15261044
C.J. Ham,21.255,10.2,47.98870854
Mike Boone,20.64,13.3,64.4379845
Brandon Bolden,19.155,11.1,57.94831637
Keaontay Ingram,12.925,14,92.32142857
Chris Myarick,14.295,8.4,58.76180483
Chris Evans,9.66,1.9,19.66873706
Jaylen Waddle,173.56,198.6,87.3917422
Amari Cooper,163.96,227,72.22907489
DeVonta Smith,162.65,227.6,71.46309315
Christian Kirk,158.79,150.26,94.6281252
Tyler Lockett,154.17,202.4,76.17094862
Brandon Aiyuk,146.185,249.2,58.6617175
Tee Higgins,143.645,137.6,95.79170873
Jerry Jeudy,134.215,141.8,94.65091678
Garrett Wilson,137.93,213.2,64.69512195
Cooper Kupp,128.01,164.4,77.8649635
Chris Olave,126.28,231.3,54.59576308
Christian Watson,116.275,100,86.00301011
Chris Godwin,129.78,209.2,62.03632887
Zay Jones,118.14,73.4,62.12967665
